,PropertyName,ShortDesc,StationMiles,Description,AddedOrReduced,Agent,ContactNumber,PropertyValue
11,"Shortlands Gardens, Bromley",2 bedroom semi-detached house for sale,0.75 miles from station,"Capital Estate Agents are pleased to offer to the market this Victorian end of terraced house located on a corner plot with potential to extend STPP. Situated in one of Shortlands most sought after locations this property is one to see, please call our Bromley office on",Added on 19/11/2020,"Added on 19/11/2020 by Capital Estate Agents, Bromley",020 8012 6298,"£550,000"
12,"Bourne Road, Bromley",4 bedroom semi-detached house for sale,0.76 miles from station,This delightful four bedroom semi-detached family home is presented in good decorative order throughout and has a 50ft south facing garden with a handy garden studio with own access.,Added on 12/11/2020,"Added on 12/11/2020 by Kinleigh Folkard & Hayward - Sales, Bromley",020 8012 2743,"£550,000"
13,"Ravensbourne Road, Bromley",4 bedroom semi-detached house for sale,0.15 miles from station,"Offered chain free and located in the heart of Bromley, is this four bedroom, two bathroom semi detached house, ideally located for Bromley South Station, Bromley High Street, local parks and schools. EPC - D",Reduced on 04/12/2020,"Reduced on 04/12/2020 by jdm, Bromley",020 8012 4327,"£550,000"
14,"Park Hill Road, Bromley, Kent, BR2",3 bedroom semi-detached house for sale,0.87 miles from station,"We are pleased to offer this three bedroom semi detached family home which is offered in outstanding order. The property has many features worthy of note, including gardens to three sides, first class decor and well planned accommodation. Early viewing recommended to avoid disappointment. EPC: C",Added on 22/08/2020,"Added on 22/08/2020 by Sinclair Hammelton, Bromley - Sales",020 8012 3328,"£550,000"
15,"Recreation Road, Bromley",3 bedroom semi-detached house for sale,0.67 miles from station,Capital Estate Agents are pleased to present to the market this extended 3 bedroom Victorian property located in the heart of Shortlands Village the current owners have maximised every inch of space making this home a well balanced ready made family home. Viewings are by appointment only.,Added on 20/09/2020,"Added on 20/09/2020 by Capital Estate Agents, Bromley",020 8012 6298,"£545,000"
16,Bromley Gardens Bromley BR2,3 bedroom semi-detached house for sale,0.43 miles from station,"**Guide Price £525,000 to £550,000** Three bedroom semi-detached Victorian home located on one of Shortlands most popular roads within easy reach of both Shortlands and Bromley South stations. Energy Efficiency Rating D.",Reduced on 23/11/2020,"Reduced on 23/11/2020 by Langford Russell, Bromley",020 8012 2638,"£525,000"
17,"Raglan Road, Bromley",3 bedroom semi-detached house for sale,0.70 miles from station,"An attractive and very well proportioned three bedroom semi-detached Victorian family home with a large kitchen, utility room and downstairs w.c. Presented in good decorative order throughout.",Reduced on 20/11/2020,"Reduced on 20/11/2020 by Kinleigh Folkard & Hayward - Sales, Bromley",020 8012 2743,"£525,000"
18,"Recreation Road, Bromley, Kent, BR2",2 bedroom semi-detached house for sale,0.67 miles from station,We are pleased to offer this outstanding two/three bedroom semi detached period cottage in this ever popular location. The property is bright and airy and must be viewed internally to be fully appreciated. The property benefits from a new kitchen and bathroom and a sunny rear garden. Early vie...,Added on 18/08/2020,"Added on 18/08/2020 by Sinclair Hammelton, Bromley - Sales",020 8012 3328,"£500,000"
19,"Chatterton Road, Bromley, BR2 9QW, kent",3 bedroom semi-detached house for sale,0.91 miles from station,"Beautifully presented end of terrace family home with a delightful PRIVATE GARDEN and OFF-STREET PARKING, conveniently located in popular CHATTERTON VILLAGE. Offering bright and spacious accommodation over three floors, with stylish interiors throughout.",Added on 06/10/2020,"Added on 06/10/2020 by Nested, London",020 3858 2530,"£500,000"
20,Stanley Road Bromley BR2,3 bedroom semi-detached house for sale,0.43 miles from station,"Excellently located for Bromley South and Bromley Town Centre is this charming, three double bedroom period home. Extremely well maintained and presented, this delightful home offers further potential to extend (STPP). Energy Efficiency Rating D.",Reduced on 20/10/2020,"Reduced on 20/10/2020 by Langford Russell, Bromley",020 8012 2638,"£499,950"
21,"Meadow Road, Bromley",3 bedroom semi-detached house for sale,0.82 miles from station,This extremely well presented three bedroom semi-detached freehold house has been well maintained by the current vendors and has a gorgeous secluded west facing garden plus a driveway.,Added on 22/10/2020,"Added on 22/10/2020 by Kinleigh Folkard & Hayward - Sales, Bromley",020 8012 2743,"£485,000"
22,"Jaffray Road, Bromley",3 bedroom semi-detached house for sale,0.80 miles from station,A well proportioned three bedroom semi detached house in a sought after location close to Raglan School. EPC rating D,Added on 16/10/2020,"Added on 16/10/2020 by jdm, Bromley",020 8012 4327,"£475,000"
23,"Page Heath Villas, Bromley, Kent, BR1",3 bedroom semi-detached house for sale,0.88 miles from station,"This three bedroom semi detached property is situated approximately half a mile from Bickley station with services into Victoria and Blackfriars. The accommodation offers two reception rooms and a kitchen to the ground floor, with two double bedrooms, a single bedroom and a shower room upstairs. ...",Added on 22/10/2020,"Added on 22/10/2020 by Sinclair Hammelton, Bromley - Sales",020 8012 3328,"£475,000"
24,Beckenham Lane Bromley BR2,2 bedroom semi-detached house for sale,0.76 miles from station,"*CHAIN FREE* Langford Russell are delighted to present for sale this handsome, two bedroom semi-detached house in the heart of Shortlands Village, less than 185 metres from Shortlands Station.",Added on 23/11/2020,"Added on 23/11/2020 by Langford Russell, Beckenham",020 8012 2636,"£460,000"
0,"Cumberland Road, Bromley",4 bedroom semi-detached house for sale,0.67 miles from station,"Well presented four bedroom semi detached house located close to Highfield schools offering a wealth of extras that are exceptionally useful in the current climate. The present owners have created a comfortable and spacious family home with the benefit of a Wellness cabin with sauna, resistance p...",Added on 11/11/2020,"Added on 11/11/2020 by Edmund Estate Agents , Bromley South/Park Langley",020 8012 3751,"£850,000"
1,"Oakwood Avenue, Beckenham",4 bedroom semi-detached house for sale,1.32 miles from station,Rarely available & always sought after this stylish four bedroom/two bathroom end of terrace house offering 1637sqft of well planned accommodation.,Added on 20/11/2020,"Added on 20/11/2020 by Kinleigh Folkard & Hayward - Sales, Beckenham",020 8012 2739,"£875,000"
2,"Avondale Road, BROMLEY, Kent",6 bedroom semi-detached house for sale,1.34 miles from station,"This is a well presented 1930s semi-detached house offering impressive accommodation arranged over 3 floors. This comprises, 2 bedrooms and a bathroom to the top floor, 4 further bedrooms all with en-suite shower/bathrooms to the first floor, and an open pl...",Added on 12/10/2020,"Added on 12/10/2020 by Proctors, Bromley",020 8012 2469,"£860,000"
3,"Stanhope Avenue, Hayes, BR2",4 bedroom semi-detached house for sale,1.52 miles from station,"**OPEN DAY 5TH DECEMBER 2020, BOOK BY APPOINTMENT ONLY** Modern four bedroom semi detached home - set in a popular quiet tree lined residential road - catchment for Hayes primary and secondary schools - close to Husseywell park, high street and Hayes station - four excellent sized bedrooms - stun...",Added on 01/12/2020,"Added on 01/12/2020 by Sinclair Hammelton, Hayes",020 8012 5370,"£850,000"
4,"Cumberland Road, Bromley",5 bedroom semi-detached house for sale,0.57 miles from station,This substantial 1930's family home has been lovingly maintained by the current vendors and is located within catchment of outstanding Ofsted rated schools to include Highfield Primary.,Added on 01/10/2020,"Added on 01/10/2020 by Kinleigh Folkard & Hayward - Sales, Bromley",020 8012 2743,"£850,000"
5,Park Road Bromley BR1,4 bedroom semi-detached house for sale,0.60 miles from station,An impressive four bedroom Victorian family home located on one of Bromley Old Town's most desirable roads. Energy Efficiency Rating D.,Added on 06/07/2020,"Added on 06/07/2020 by Langford Russell, Bromley",020 8012 2638,"£850,000"
6,"Arran Road, London, SE6 2NN",4 bedroom semi-detached house for sale,2.98 miles from station,"*** Guide Price £850,000-£900,000 *** Four bedroom, three reception, late Edwardian semi-detached villa in the Culverley Green Conservation Area. At nearly 2,000 sq ft, plus a garage and separate lock up, we believe that this is one of the largest single fronted houses in the Conservation Area. ...",Added on 23/10/2020,"Added on 23/10/2020 by Hunters, Catford",020 8012 4437,"£850,000"
7,Woodland Way West Wickham BR4,5 bedroom semi-detached house for sale,2.43 miles from station,"Exceptional five bedroom, three bathroom family home located on one of the area’s most desirable roads and offered chain free. Set over three floors and its location allows for access to the High Street, local schools and West Wickham train station. Energy Efficiency Rating D.",Added on 19/11/2020,"Added on 19/11/2020 by Langford Russell, West Wickham",020 8012 4572,"£850,000"
8,"South Hill Road, Bromley, Kent, BR2",4 bedroom semi-detached house for sale,0.78 miles from station,"Situated in the catchment of highly regarded local schools, this beautifully presented four bedroom family home is tastefully decorated and refurbished to include a quality fitted kitchen, a luxury four piece bathroom suite and additional reception. Further benefits include a sunny and well stoc...",Added on 16/11/2020,"Added on 16/11/2020 by Sinclair Hammelton, Bromley - Sales",020 8012 3328,"£850,000"
9,"Coniston Road, Bromley, Kent, BR1",5 bedroom semi-detached house for sale,1.31 miles from station,"An impressive five bedroom two bathroom halls adjoining semi detached family home in this sought after tree lined residential road. The property has been fastidiously maintained by the current owner and offers fabulous family accommodation providing a generous kitchen, integral garage, a large c...",Added on 18/11/2020,"Added on 18/11/2020 by Sinclair Hammelton, Bromley - Sales",020 8012 3328,POA
10,"Cumberland Road, Bromley",4 bedroom semi-detached house for sale,0.67 miles from station,"Well presented four bedroom semi detached house located close to Highfield schools offering a wealth of extras that are exceptionally useful in the current climate. The present owners have created a comfortable and spacious family home with the benefit of a Wellness cabin with sauna, resistance p...",Added on 11/11/2020,"Added on 11/11/2020 by Edmund Estate Agents , Bromley South/Park Langley",020 8012 3751,"£850,000"
11,"Celtic Avenue, Bromley, Kent",4 bedroom semi-detached house for sale,0.72 miles from station,"Splendid four bedroom semi detached family home, in this cul-de-sac position, a short walk from the sought after Highfield schools and enjoying a south east facing 130' garden. Two 14' reception rooms, with the living room having a gas fire and double glaze...",Added on 05/11/2020,"Added on 05/11/2020 by Proctors, West Wickham",020 8012 2467,"£850,000"
